Summary,url,Title,Post_Details,Bike Type,Brand,Trim/Edition,Model,Year,Mileage,Seller,Capacity,Price
"Atv beach bike 201435,000 kmKegalle, MotorbikesRs 440,00043 days",https://ikman.lk/en/ad/atv-beach-bike-2014-for-sale-kegalle,Atv beach bike 2014,"Posted on 30 Jan 9:02 am, Kegalle City, Kegalle",Quadricycles,Other brand,Atv beach bike,Other model,2014,"35,000 km",lakee,150 cc,"440,000"
"Bajaj Pulsar 150 palsar 201450,737 kmAnuradhapura, MotorbikesRs 370,00035 days",https://ikman.lk/en/ad/bajaj-pulsar-150-palsar-2014-for-sale-anuradhapura-1,Bajaj Pulsar 150 palsar 2014,"Posted on 11 Mar 1:58 pm, Kekirawa, Anuradhapura",Motorbikes,Bajaj,palsar 150,Pulsar 150,2014,"50,737 km",Sasila Ishan,150 cc,"370,000"
"Beach Buggy 20055,000 kmColombo, MotorbikesRs 210,00051 days",https://ikman.lk/en/ad/beach-buggy-2005-for-sale-colombo,Beach Buggy 2005,"Posted on 21 Jan 9:45 pm, Talawatugoda, Colombo",Quadricycles,Other brand,Beach Buggy,Other model,2005,"5,000 km",vinuka automart,125 cc,"210,000"
"Electra Alpha Vino 2019600 kmColombo, MotorbikesRs 105,00043 days",https://ikman.lk/en/ad/electra-alfa-vino-2019-for-sale-colombo,Electra Alpha Vino 2019,"Posted on 22 Feb 2:26 pm, Moratuwa, Colombo",E-bikes,Electra,Vino,Alpha,2019,600 km,Jeewantha Basnayaka,49 cc,"105,000"
"Hero Maestro Edge 201818,500 kmMEMBERKalutara, MotorbikesRs 80,00024 days",https://ikman.lk/en/ad/hero-maestro-edge-2018-for-sale-kalutara-44,Hero Maestro Edge 2018,"Posted on 07 Mar 2:08 pm, Bandaragama, Kalutara",Scooters,Hero,2018,Maestro Edge,2018,"18,500 km",Anjalee Motors,110 cc,"80,000"
"Honda CBR 650R 202012,700 kmGalle, MotorbikesRs 889,00032 days",https://ikman.lk/en/ad/honda-cbr-650r-2020-for-sale-galle,Honda CBR 650R 2020,"Posted on 10 Feb 10:00 am, Galle City, Galle",Motorbikes,Honda,650R,CBR,2020,"12,700 km",Anne Filishiya Ross thuring,650 cc,"889,000"
"Honda CBR 650R 202015,000 kmColombo, MotorbikesRs 2,500,00057 days",https://ikman.lk/en/ad/honda-cbr-cbr650r-2020-for-sale-colombo,Honda CBR 650R 2020,"Posted on 18 Jan 12:56 pm, Maharagama, Colombo",Motorbikes,Honda,CBR 650R,CBR,2020,"15,000 km",Dream Bikes,650 cc,"2,500,000"
"Honda CRF 250R 200810,000 kmGampaha, MotorbikesRs 1,400,00045 days",https://ikman.lk/en/ad/honda-crf-250r-2008-for-sale-gampaha-4,Honda CRF 250R 2008,"Posted on 30 Jan 4:29 pm, Ja-Ela, Gampaha",Motorbikes,Honda,CRF 250R,CRF,2008,"10,000 km",shehan,250 cc,"1,400,000"
"Honda Dio 201025,000 kmKurunegala, MotorbikesRs 125,00024 days",https://ikman.lk/en/ad/honda-dio-2010-for-sale-kurunegala-103,Honda Dio 2010,"Posted on 18 Feb 12:07 pm, Kurunegala City, Kurunegala",Scooters,Honda,,Dio,2010,"25,000 km",Julatha Bandara,48 cc,"125,000"
"Honda Hornet CH 125 200217,200 kmKegalle, MotorbikesRs 780,00047 days",https://ikman.lk/en/ad/honda-hornet-ch-125-unregistered-2002-for-sale-kegalle-1,Honda Hornet CH 125 2002,"Posted on 26 Jan 2:32 pm, Kegalle City, Kegalle",Motorbikes,Honda,CH 125,Hornet,2002,"17,200 km",Shehan,250 cc,"780,000"
"Honda Magna Beget . 201523,400 kmColombo, MotorbikesRs 425,00040 days",https://ikman.lk/en/ad/honda-magna-beget-unregistered-2015-for-sale-colombo,Honda Magna Beget . 2015,"Posted on 02 Feb 8:34 am, Colombo 8, Colombo",Motorbikes,Honda,Beget .,Magna,2015,"23,400 km",thakshana,250 cc,"425,000"
"Honda VTR Vt250 1984185,000 kmColombo, MotorbikesRs 260,00035 days",https://ikman.lk/en/ad/honda-vtr-vt250-1984-for-sale-colombo,Honda VTR Vt250 1984,"Posted on 07 Feb 7:24 pm, Piliyandala, Colombo",Motorbikes,Honda,Vt250,VTR,1984,"185,000 km",Dileka Madujeewa,250 cc,"260,000"
"Kawasaki Balius . 201814,568 kmMEMBERKurunegala, MotorbikesRs 320,00053 days",https://ikman.lk/en/ad/kawasaki-balius-2018-for-sale-kurunegala,Kawasaki Balius . 2018,"Posted on 28 Feb 12:02 pm, Kurunegala City, Kurunegala",Motorbikes,Kawasaki,.,Balius,2018,"14,568 km",Ranjith Japanese Motorcycles,250 cc,"320,000"
"Kawasaki D Tracker Super Moto 200620,000 kmColombo, MotorbikesRs 875,00047 days",https://ikman.lk/en/ad/kawasaki-d-tracker-super-moto-2006-for-sale-colombo,Kawasaki D Tracker Super Moto 2006,"Posted on 03 Feb 7:20 pm, Kotte, Colombo",Motorbikes,Kawasaki,Super Moto,D Tracker,2006,"20,000 km",T.M.Japan (Pvt) Ltd,250 cc,"875,000"
"Yamaha Gear 50 Cargo Efi 201812,580 kmMEMBERKurunegala, MotorbikesRs 195,00046 days",https://ikman.lk/en/ad/yamaha-gear-50-cargo-efi-2018-for-sale-kurunegala,Yamaha Gear 50 Cargo Efi 2018,"Posted on 28 Feb 12:02 pm, Kurunegala City, Kurunegala",Scooters,Yamaha,Gear 50 Cargo Efi,Other Model,2018,"12,580 km",Ranjith Japanese Motorcycles,50 cc,"195,000"
"Aprilia RS 201914,000 kmColombo, MotorbikesRs 365,00024 days",https://ikman.lk/en/ad/aprilia-rs-2019-for-sale-colombo-1,Aprilia RS 2019,"Posted on 26 Feb 9:29 pm, Boralesgamuwa, Colombo",Scooters,Aprilia,2019,RS,2019,"14,000 km",dilshan,125 cc,"365,000"
"Aprilia RS 201936,969 kmMEMBERColombo, MotorbikesRs 445,00027 days",https://ikman.lk/en/ad/aprilia-rs-2019-for-sale-colombo,Aprilia RS 2019,"Posted on 15 Feb 6:11 pm, Boralesgamuwa, Colombo",Scooters,Aprilia,Aprilia,RS,2019,"36,969 km",Ranul Motors,150 cc,"445,000"
"Aprilia SR 125 201834,000 kmKalutara, MotorbikesRs 300,00035 days",https://ikman.lk/en/ad/aprilia-sr-125-2018-for-sale-kalutara,Aprilia SR 125 2018,"Posted on 17 Feb 8:09 am, Panadura, Kalutara",Scooters,Aprilia,125,SR,2018,"34,000 km",punsara saumya,125 cc,"300,000"
"Aprilia SR 150 201911,200 kmMEMBERColombo, MotorbikesRs 420,00034 days",https://ikman.lk/en/ad/aprilia-sr-150-2019-for-sale-colombo-2,Aprilia SR 150 2019,"Posted on 08 Feb 12:02 pm, Boralesgamuwa, Colombo",Scooters,Aprilia,sr 150,SR,2019,"11,200 km",Ranul Motors,150 cc,"420,000"
"Aprilia SR 201910,000 kmKegalle, MotorbikesRs 310,00032 days",https://ikman.lk/en/ad/aprilia-sr-2019-for-sale-kegalle-2,Aprilia SR 2019,"Posted on 01 Mar 12:28 pm, Kegalle City, Kegalle",Scooters,Aprilia,,SR,2019,"10,000 km",Mangala,125 cc,"310,000"
"Aprilia SR 20193,100 kmMEMBERColombo, MotorbikesRs 455,00027 days",https://ikman.lk/en/ad/aprilia-sr-2019-for-sale-colombo-33,Aprilia SR 2019,"Posted on 15 Feb 12:29 am, Boralesgamuwa, Colombo",Scooters,Aprilia,2019,SR,2019,"3,100 km",Ranul Motors,150 cc,"455,000"
"Aprilia SR 201930,000 kmAmpara, MotorbikesRs 350,00058 days",https://ikman.lk/en/ad/aprilia-sr-2019-for-sale-ampara,Aprilia SR 2019,"Posted on 15 Jan 1:10 pm, Kalmunai, Ampara",Scooters,Aprilia,,SR,2019,"30,000 km",Sihab Aakil,150 cc,"350,000"
"Aprilia SR RS150 20193,636 kmMEMBERColombo, MotorbikesRs 455,00030 days",https://ikman.lk/en/ad/aprilia-sr-rs150-2019-for-sale-colombo-1,Aprilia SR RS150 2019,"Posted on 12 Feb 3:39 pm, Boralesgamuwa, Colombo",Scooters,Aprilia,RS150,SR,2019,"3,636 km",Ranul Motors,150 cc,"455,000"
"Aprilia SR SR150 201819,685 kmGampaha, MotorbikesRs 360,00025 days",https://ikman.lk/en/ad/aprilia-sr-sr150-2018-for-sale-gampaha,Aprilia SR SR150 2018,"Posted on 17 Feb 4:55 pm, Wattala, Gampaha",Scooters,Aprilia,SR150,SR,2018,"19,685 km",Kethees Balasubramaniyam,150 cc,"360,000"
"Aprilia Tuono Gizmo 200421,000 kmGalle, MotorbikesRs 40,00040 days",https://ikman.lk/en/ad/aprilia-tuono-gizmo-2004-for-sale-galle,Aprilia Tuono Gizmo 2004,"Posted on 01 Feb 10:47 pm, Galle City, Galle",Motorbikes,Aprilia,Gizmo,Tuono,2004,"21,000 km",Lahiru Lakshan,49 cc,"40,000"
"ATV Quad bike 2017500 kmColombo, MotorbikesRs 250,000",https://ikman.lk/en/ad/2017-for-sale-colombo-18,ATV Quad bike 2017,"Posted on 11 Mar 7:27 pm, Dehiwala, Colombo",Quadricycles,Other brand,ATV Quad bike,Other model,2017,500 km,Mohamed,110 cc,"250,000"
"B2 India Scooter 201017,000 kmKegalle, MotorbikesRs 115,00032 days",https://ikman.lk/en/ad/b2-india-2010-for-sale-kegalle,B2 India Scooter 2010,"Posted on 10 Feb 12:12 pm, Mawanella, Kegalle",Scooters,Other brand,B2 India Scooter,Other model,2010,"17,000 km",Sajath,125 cc,"115,000"
"Bajaj . 201130,000 kmPolonnaruwa, MotorbikesRs 205,00028 days",https://ikman.lk/en/ad/bajaj-no-2011-for-sale-polonnaruwa,Bajaj . 2011,"Posted on 14 Feb 3:44 pm, Polonnaruwa City, Polonnaruwa",Motorbikes,Bajaj,.,Other Model,2011,"30,000 km",Fazeer Qolisath,150 cc,"205,000"
"Bajaj 1993140,000 kmGalle, MotorbikesRs 170,00043 days",https://ikman.lk/en/ad/bajaj-super-fe-1993-for-sale-galle,Bajaj 1993,"Posted on 30 Jan 12:52 am, Elpitiya, Galle",Scooters,Bajaj,1993,Other Model,1993,"140,000 km",Dumindu Sadaruvan,125 cc,"170,000"
"Bajaj Aspire 200933,000 kmColombo, MotorbikesRs 148,00032 days",https://ikman.lk/en/ad/bajaj-aspire-ct-2009-for-sale-colombo,Bajaj Aspire 2009,"Posted on 10 Feb 1:16 pm, Kesbewa, Colombo",Motorbikes,Bajaj,Bajaj,Aspire,2009,"33,000 km",Thilanga Piris,100 cc,"148,000"
"Bajaj Aspire 201187,000 kmKurunegala, MotorbikesRs 120,00060 days",https://ikman.lk/en/ad/bajaj-aspire-2011-for-sale-kurunegala,Bajaj Aspire 2011,"Posted on 13 Jan 9:31 pm, Kuliyapitiya, Kurunegala",Motorbikes,Bajaj,,Aspire,2011,"87,000 km",Sandun,135 cc,"120,000"
"Bajaj Aspire 201725,000 kmBadulla, MotorbikesRs 260,00052 days",https://ikman.lk/en/ad/bajaj-aspire-2017-for-sale-badulla,Bajaj Aspire 2017,"Posted on 21 Jan 10:45 pm, Mahiyanganaya, Badulla",Motorbikes,Bajaj,,Aspire,2017,"25,000 km",dilshan,100 cc,"260,000"
"Bajaj Avenger . 201812,000 kmMEMBERColombo, MotorbikesRs 430,00060 days",https://ikman.lk/en/ad/bajaj-avenger-2018-for-sale-colombo-46,Bajaj Avenger . 2018,"Posted on 13 Jan 8:45 am, Piliyandala, Colombo",Motorbikes,Bajaj,.,Avenger,2018,"12,000 km",Piliyandala Scooty Mart,150 cc,"430,000"
"Bajaj Avenger 150 street 201728,000 kmAnuradhapura, MotorbikesRs 465,00053 days",https://ikman.lk/en/ad/bajaj-avenger-150-street-2017-for-sale-anuradhapura,Bajaj Avenger 150 street 2017,"Posted on 25 Jan 7:33 pm, Medawachchiya, Anuradhapura",Motorbikes,Bajaj,150 street,Avenger,2017,"28,000 km",ahmedyash,150 cc,"465,000"
"Bajaj Avenger 180CC 201739,500 kmRatnapura, MotorbikesRs 630,00035 days",https://ikman.lk/en/ad/bajaj-avenger-180cc-2017-for-sale-ratnapura,Bajaj Avenger 180CC 2017,"Posted on 07 Feb 5:15 pm, Ratnapura City, Ratnapura",Motorbikes,Bajaj,180CC,Avenger,2017,"39,500 km",Thushara Ganegodage,180 cc,"630,000"
"Bajaj Avenger 200539,000 kmColombo, MotorbikesRs 245,00029 days",https://ikman.lk/en/ad/bajaj-avenger-2005-for-sale-colombo-1,Bajaj Avenger 2005,"Posted on 19 Feb 8:30 am, Rajagiriya, Colombo",Motorbikes,Bajaj,,Avenger,2005,"39,000 km",kelumlive,180 cc,"245,000"
"Bajaj Avenger 200595,000 kmKurunegala, MotorbikesRs 290,00035 days",https://ikman.lk/en/ad/bajaj-avenger-2005-for-sale-kurunegala,Bajaj Avenger 2005,"Posted on 21 Feb 12:28 pm, Bingiriya, Kurunegala",Motorbikes,Bajaj,2005,Avenger,2005,"95,000 km",shehan perera,180 cc,"290,000"
"Bajaj Avenger 201640,000 kmRatnapura, MotorbikesRs 430,00030 days",https://ikman.lk/en/ad/bajaj-avenger-2016-for-sale-ratnapura,Bajaj Avenger 2016,"Posted on 01 Mar 11:10 am, Ratnapura City, Ratnapura",Motorbikes,Bajaj,,Avenger,2016,"40,000 km",Nelan Dayarathne,150 cc,"430,000"
"Bajaj Avenger 201648,667 kmMEMBERPolonnaruwa, MotorbikesRs 495,00032 days",https://ikman.lk/en/ad/bajaj-avenger-2016-for-sale-polonnaruwa,Bajaj Avenger 2016,"Posted on 23 Feb 3:31 pm, Polonnaruwa City, Polonnaruwa",Motorbikes,Bajaj,Avenger,Avenger,2016,"48,667 km",PLS Motors & Credit (Pvt) Ltd,150 cc,"495,000"
"Bajaj Avenger 201729,000 kmMEMBERColombo, MotorbikesRs 495,00053 days",https://ikman.lk/en/ad/bajaj-avenger-2017-for-sale-colombo-79,Bajaj Avenger 2017,"Posted on 23 Jan 11:02 am, Nugegoda, Colombo",Motorbikes,Bajaj,2017,Avenger,2017,"29,000 km",AAA Auto Mart,150 cc,"495,000"
"Bajaj Avenger 201725,000 kmMEMBERColombo, MotorbikesRs 440,00052 days",https://ikman.lk/en/ad/bajaj-avenger-2017-for-sale-colombo-80,Bajaj Avenger 2017,"Posted on 23 Feb 8:48 am, Piliyandala, Colombo",Motorbikes,Bajaj,Bajaj,Avenger,2017,"25,000 km",Piliyandala Scooty Mart - Suzuki Dealer,150 cc,"440,000"
"Bajaj Avenger 201820,000 kmMEMBERColombo, MotorbikesRs 440,00039 days",https://ikman.lk/en/ad/bajaj-avenger-2018-for-sale-colombo-48,Bajaj Avenger 2018,"Posted on 17 Feb 7:07 am, Piliyandala, Colombo",Motorbikes,Bajaj,Bajaj,Avenger,2018,"20,000 km",Piliyandala Scooty Mart,150 cc,"440,000"
"Bajaj Avenger Blue 201619,000 kmMEMBERColombo, MotorbikesRs 435,00035 days",https://ikman.lk/en/ad/bajaj-avenger-blue-2016-for-sale-colombo-28,Bajaj Avenger Blue 2016,"Posted on 11 Feb 9:26 pm, Piliyandala, Colombo",Motorbikes,Bajaj,Blue,Avenger,2016,"19,000 km",Piliyandala Scooty Mart,150 cc,"435,000"
"Bajaj Avenger Blue 201619,000 kmMEMBERColombo, MotorbikesRs 455,00037 days",https://ikman.lk/en/ad/bajaj-avenger-blue-2016-for-sale-colombo-26,Bajaj Avenger Blue 2016,"Posted on 23 Feb 8:48 am, Piliyandala, Colombo",Motorbikes,Bajaj,Blue,Avenger,2016,"19,000 km",Piliyandala Scooty Mart - Suzuki Dealer,150 cc,"455,000"
"Bajaj Avenger BLUE 201628,000 kmMEMBERColombo, MotorbikesRs 425,00054 days",https://ikman.lk/en/ad/bajaj-avenger-blue-2016-for-sale-colombo-24,Bajaj Avenger BLUE 2016,"Posted on 19 Jan 10:53 am, Piliyandala, Colombo",Motorbikes,Bajaj,BLUE,Avenger,2016,"28,000 km",Piliyandala Scooty Mart,150 cc,"425,000"
"Bajaj Avenger Blue 201723,000 kmMEMBERColombo, MotorbikesRs 430,00030 days",https://ikman.lk/en/ad/bajaj-avenger-blue-2017-for-sale-colombo-10,Bajaj Avenger Blue 2017,"Posted on 17 Feb 6:58 am, Piliyandala, Colombo",Motorbikes,Bajaj,Blue,Avenger,2017,"23,000 km",Piliyandala Scooty Mart,150 cc,"430,000"
"Bajaj Avenger Street . 201630,000 kmKegalle, MotorbikesRs 430,00038 days",https://ikman.lk/en/ad/bajaj-avenger-street-bdy-9463-2016-for-sale-kegalle,Bajaj Avenger Street . 2016,"Posted on 03 Feb 5:08 pm, Kegalle City, Kegalle",Motorbikes,Bajaj,.,Avenger Street,2016,"30,000 km",Sujeewa jayalath,150 cc,"430,000"
"Bajaj Avenger Street 150 201628,000 kmMEMBERColombo, MotorbikesRs 104,00055 days",https://ikman.lk/en/ad/bajaj-avenger-street-150-2016-for-sale-colombo-13,Bajaj Avenger Street 150 2016,"Posted on 17 Jan 5:22 pm, Moratuwa, Colombo",Motorbikes,Bajaj,Avenger 150,Avenger Street,2016,"28,000 km",Deen Motors Panadura,150 cc,"104,000"
"Bajaj Avenger Street 150 201729,500 kmMEMBERColombo, MotorbikesRs 70,00033 days",https://ikman.lk/en/ad/bajaj-avenger-street-150-2017-for-sale-colombo-133,Bajaj Avenger Street 150 2017,"Posted on 09 Feb 6:32 am, Moratuwa, Colombo",Motorbikes,Bajaj,Avenger 150,Avenger Street,2017,"29,500 km",Deen Motors Panadura,150 cc,"70,000"
"Bajaj Avenger Street 150 201756,000 kmMEMBERColombo, MotorbikesRs 80,00047 days",https://ikman.lk/en/ad/bajaj-avenger-street-150-2017-for-sale-colombo-132,Bajaj Avenger Street 150 2017,"Posted on 25 Jan 12:53 pm, Piliyandala, Colombo",Motorbikes,Bajaj,Street 150,Avenger,2017,"56,000 km",Minu Warsha Motors,150 cc,"80,000"
"Bajaj Avenger Street 150 201845,000 kmTrincomalee, MotorbikesRs 430,00043 days",https://ikman.lk/en/ad/bajaj-avenger-street-150-2018-for-sale-trincomalee,Bajaj Avenger Street 150 2018,"Posted on 30 Jan 2:28 pm, Trincomalee City, Trincomalee",Motorbikes,Bajaj,150,Avenger Street,2018,"45,000 km",Abi Manyu,150 cc,"430,000"
"Bajaj Avenger Street 160 201911,350 kmGampaha, MotorbikesRs 455,00056 days",https://ikman.lk/en/ad/bajaj-avenger-street-160-2019-for-sale-gampaha,Bajaj Avenger Street 160 2019,"Posted on 16 Jan 1:03 pm, Kandana, Gampaha",Motorbikes,Bajaj,160,Avenger Street,2019,"11,350 km",Sell Fast | Ja Ela | L.S.N Communication,160 cc,"455,000"
"Bajaj Boxer . 200975,000 kmPuttalam, MotorbikesRs 130,00040 days",https://ikman.lk/en/ad/bajaj-boxer-new-2009-for-sale-puttalam,Bajaj Boxer . 2009,"Posted on 01 Feb 4:08 pm, Puttalam City, Puttalam",Motorbikes,Bajaj,.,Boxer,2009,"75,000 km",Nestan Donal,100 cc,"130,000"
"Bajaj Boxer 100 200295,000 kmColombo, MotorbikesRs 85,00039 days",https://ikman.lk/en/ad/bajaj-boxer-100-2002-for-sale-colombo-1,Bajaj Boxer 100 2002,"Posted on 03 Feb 8:42 am, Rajagiriya, Colombo",Motorbikes,Bajaj,Boxer 100,Boxer,2002,"95,000 km",Mohammed Rashad,95 cc,"85,000"
"Bajaj Boxer 100 200352,582 kmNuwara Eliya, MotorbikesRs 65,00035 days",https://ikman.lk/en/ad/bajaj-boxer-100-2003-for-sale-nuwara-eliya,Bajaj Boxer 100 2003,"Posted on 07 Feb 1:24 pm, Nuwara Eliya City, Nuwara Eliya",Motorbikes,Bajaj,100,Boxer,2003,"52,582 km",Mohammed Nasser,100 cc,"65,000"
"Bajaj Boxer 11.20 200350,000 kmColombo, MotorbikesRs 80,00036 days",https://ikman.lk/en/ad/bajaj-boxer-1120-2003-for-sale-colombo,Bajaj Boxer 11.20 2003,"Posted on 06 Feb 11:25 am, Kaduwela, Colombo",Motorbikes,Bajaj,11.2,Boxer,2003,"50,000 km",Harshana Kumara,100 cc,"80,000"
"Bajaj Boxer 19972,614 kmMatara, MotorbikesRs 117,00038 days",https://ikman.lk/en/ad/bajaj-boxer-boxser-matara-1997-for-sale-matara,Bajaj Boxer 1997,"Posted on 03 Feb 6:52 pm, Matara City, Matara",Motorbikes,Bajaj,Bajaj Boxer,Boxer,1997,"2,614 km",Lakshan Tharibdu,100 cc,"117,000"
"Bajaj Boxer 200060,000 kmKalutara, MotorbikesRs 95,00032 days",https://ikman.lk/en/ad/bajaj-boxer-2000-for-sale-kalutara-2,Bajaj Boxer 2000,"Posted on 10 Feb 8:08 am, Bandaragama, Kalutara",Motorbikes,Bajaj,,Boxer,2000,"60,000 km",Sell Fast| Horana| Tharindu Advertising,100 cc,"95,000"
"Bajaj Boxer 200050,000 kmJaffna, MotorbikesRs 170,00042 days",https://ikman.lk/en/ad/bajaj-boxer-nll-nilaiyil-ulllltu-2000-for-sale-jaffna,Bajaj Boxer 2000,"Posted on 31 Jan 12:38 pm, Jaffna City, Jaffna",Motorbikes,Bajaj,bajaj,Boxer,2000,"50,000 km",ஈழத் தமிழன் நிஷான் யாழ்ப்பாணம்,100 cc,"170,000"
"Bajaj Boxer 200295,000 kmKurunegala, MotorbikesRs 80,00057 days",https://ikman.lk/en/ad/bajaj-boxer-2002-for-sale-kurunegala-21,Bajaj Boxer 2002,"Posted on 15 Jan 3:51 pm, Kurunegala City, Kurunegala",Motorbikes,Bajaj,Bajaj Boxer,Boxer,2002,"95,000 km",Thilina Chandima Rajapaksha,100 cc,"80,000"
"Bajaj Boxer 200253,000 kmKurunegala, MotorbikesRs 100,00051 days",https://ikman.lk/en/ad/bajaj-boxer-2002-for-sale-kurunegala-22,Bajaj Boxer 2002,"Posted on 22 Jan 10:02 am, Kurunegala City, Kurunegala",Motorbikes,Bajaj,,Boxer,2002,"53,000 km",Wasantha Bandara,100 cc,"100,000"
"Bajaj Boxer 200265,000 kmPuttalam, MotorbikesRs 80,00037 days",https://ikman.lk/en/ad/bajaj-boxer-2002-for-sale-puttalam-22,Bajaj Boxer 2002,"Posted on 08 Feb 8:31 am, Wennappuwa, Puttalam",Motorbikes,Bajaj,,Boxer,2002,"65,000 km",Sell Fast | Kithsiri Agent,90 cc,"80,000"
"Bajaj Boxer 200394,000 kmGalle, MotorbikesRs 95,00045 days",https://ikman.lk/en/ad/bajaj-boxer-2003-for-sale-galle-43,Bajaj Boxer 2003,"Posted on 27 Jan 4:59 pm, Bentota, Galle",Motorbikes,Bajaj,2003,Boxer,2003,"94,000 km",chamika pethum,100 cc,"95,000"
"Bajaj Boxer 200373,000 kmMatara, MotorbikesRs 90,00037 days",https://ikman.lk/en/ad/bajaj-boxer-2003-for-sale-matara-52,Bajaj Boxer 2003,"Posted on 24 Feb 7:54 pm, Matara City, Matara",Motorbikes,Bajaj,2003,Boxer,2003,"73,000 km",Lucky Sel,100 cc,"90,000"
"Bajaj Boxer 200365,000 kmMonaragala, MotorbikesRs 60,00044 days",https://ikman.lk/en/ad/bajaj-boxer-2003-for-sale-monaragala-8,Bajaj Boxer 2003,"Posted on 28 Jan 4:54 pm, Monaragala City, Monaragala",Motorbikes,Bajaj,,Boxer,2003,"65,000 km",Pasindu Madushanka,100 cc,"60,000"
"Bajaj Boxer 200355,000 kmNuwara Eliya, MotorbikesRs 115,00032 days",https://ikman.lk/en/ad/bajaj-boxer-2003-for-sale-nuwara-eliya-2,Bajaj Boxer 2003,"Posted on 10 Feb 11:26 am, Nuwara Eliya City, Nuwara Eliya",Motorbikes,Bajaj,boxer,Boxer,2003,"55,000 km",Rathnayaka product,100 cc,"115,000"
"Bajaj Boxer 200340,000 kmGampaha, MotorbikesRs 95,00028 days",https://ikman.lk/en/ad/bajaj-boxer-2003-for-sale-gampaha-543,Bajaj Boxer 2003,"Posted on 14 Feb 8:27 am, Kelaniya, Gampaha",Motorbikes,Bajaj,bajaj boxer,Boxer,2003,"40,000 km",Sineth,100 cc,"95,000"
"Bajaj Boxer 200390,000 kmGampaha, MotorbikesRs 80,00049 days",https://ikman.lk/en/ad/bajaj-boxer-2003-for-sale-gampaha-537,Bajaj Boxer 2003,"Posted on 23 Jan 2:58 pm, Wattala, Gampaha",Motorbikes,Bajaj,2003,Boxer,2003,"90,000 km",Kanna Ram,90 cc,"80,000"
"Bajaj Boxer 200412,600 kmColombo, MotorbikesRs 95,00036 days",https://ikman.lk/en/ad/bajaj-boxer-2004-for-sale-colombo-426,Bajaj Boxer 2004,"Posted on 12 Mar 8:17 pm, Rajagiriya, Colombo",Motorbikes,Bajaj,Bajaj Boxer 2004,Boxer,2004,"12,600 km",fayas,100 cc,"95,000"
"Bajaj Boxer 200468,000 kmColombo, MotorbikesRs 95,00034 days",https://ikman.lk/en/ad/bajaj-boxer-ddiluus-2004-for-sale-colombo,Bajaj Boxer 2004,"Posted on 07 Feb 9:24 pm, Kottawa, Colombo",Motorbikes,Bajaj,Boxer,Boxer,2004,"68,000 km",Manohara Grero,100 cc,"95,000"
"Bajaj Boxer 200466,433 kmMatara, MotorbikesRs 78,00026 days",https://ikman.lk/en/ad/bajaj-boxer-matara-boxser-bike-2004-for-sale-matara,Bajaj Boxer 2004,"Posted on 16 Feb 7:47 pm, Matara City, Matara",Motorbikes,Bajaj,2004,Boxer,2004,"66,433 km",Matheesha Udayakumara,100 cc,"78,000"
"Bajaj Boxer 200480,000 kmPuttalam, MotorbikesRs 80,00024 days",https://ikman.lk/en/ad/bajaj-boxer-2004-for-sale-puttalam-58,Bajaj Boxer 2004,"Posted on 18 Feb 5:31 pm, Puttalam City, Puttalam",Motorbikes,Bajaj,,Boxer,2004,"80,000 km",nandana perera,100 cc,"80,000"
"Bajaj Boxer 200485,850 kmKurunegala, MotorbikesRs 135,00038 days",https://ikman.lk/en/ad/bajaj-boxer-2004-for-sale-kurunegala-207,Bajaj Boxer 2004,"Posted on 03 Feb 10:15 pm, Bingiriya, Kurunegala",Motorbikes,Bajaj,,Boxer,2004,"85,850 km",Renuka Damayanthi,100 cc,"135,000"
"Bajaj Boxer 200485,000 kmColombo, MotorbikesRs 96,00041 days",https://ikman.lk/en/ad/bajaj-boxer-2004-for-sale-colombo-425,Bajaj Boxer 2004,"Posted on 01 Feb 9:51 am, Hanwella, Colombo",Motorbikes,Bajaj,,Boxer,2004,"85,000 km",Wesllan Mobile,100 cc,"96,000"
"Bajaj Boxer 200440,000 kmColombo, MotorbikesRs 110,00058 days",https://ikman.lk/en/ad/bajaj-boxer-2004-2022-for-sale-colombo,Bajaj Boxer 2004,"Posted on 18 Feb 4:18 pm, Piliyandala, Colombo",Motorbikes,Bajaj,2004,Boxer,2004,"40,000 km",ma tv,115 cc,"110,000"
"Bajaj Boxer 200537,000 kmGampaha, MotorbikesRs 100,00036 days",https://ikman.lk/en/ad/bajaj-boxer-bocxr-2005-for-sale-gampaha,Bajaj Boxer 2005,"Posted on 06 Feb 1:44 pm, Ja-Ela, Gampaha",Motorbikes,Bajaj,Boxer,Boxer,2005,"37,000 km",Chamila Kumara,100 cc,"100,000"
"Bajaj Boxer 200565,000 kmMEMBERColombo, MotorbikesRs 75,00038 days",https://ikman.lk/en/ad/bajaj-boxer-2005-for-sale-colombo-160,Bajaj Boxer 2005,"Posted on 08 Mar 3:52 pm, Meegoda, Colombo",Motorbikes,Bajaj,,Boxer,2005,"65,000 km",SHAN ENTERPRISES,100 cc,"75,000"
"Bajaj Boxer 200654,000 kmGampaha, MotorbikesRs 110,00024 days",https://ikman.lk/en/ad/bajaj-boxer-2006-for-sale-gampaha-118,Bajaj Boxer 2006,"Posted on 18 Feb 2:54 pm, Gampaha City, Gampaha",Motorbikes,Bajaj,,Boxer,2006,"54,000 km",Sell Fast | Gampaha Town,100 cc,"110,000"
